Text is King|Pragmatic Programmer?
Clarity of vision, flexibility of process. Know your intention|John Stewart
If you don't know where you're going, any road will take you there|George Harrison
If you want to build a ship, don’t drum up the men to gather wood, divide the work, and give orders. Instead, teach them to yearn for the vast and endless sea|Antoine de Saint-Exupéry
The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom|Isaac Asimov
You are the average of the five people you spend the most time with|Jim Rohn
What is the work that you can't not do?|Scott Dinsmore (TED Talk)
An expert computer programmer encodes and processes information semantically, ignoring programming language syntactic details|Weiser, 1982
If we feel like we know something, our minds close off to other possibilities. We see reflections of the truth we have already assumed|Robert Greene, Mastery
It is in your moments of decision that your destiny is shaped|Tony Robbins
You come at the king, you best not miss|Omar, The Wire
Communicate with intent!|?
Focus on what YOU want - try not to get influenced by the environment|darkman
We are kept from our goal not by obstacles by by a clear path to a lesser goal|Robert Brault (TED Talk)
We suffer more often in imagination than in reality|Seneca
Humans are really good at considering what might go wrong - but we are not good at considering the cost of inaction|Time Ferriss (TED Talk)
Easy choices, hard life. Hard choices, easy life|Jerzy Gregorek (TED Talk)
Confidence - Permission births it - Community breeds it - Curiosity affirms it|Brittany Packnett (TED Talk)
People who are crazy enough to think they can change the world, are the ones who do|?
You can do anything. But never go against the family|The Godfather
Rationality is not about knowing facts, it's about recognizing which facts are relevant|Grant Sanderson
Focus on the mountain - not the yoyo|.. regarding Stock market
The stock market is a device for transferring money from the impatient to the patient|Warren Buffett
People can’t live with change if there’s not a changeless core inside them. The key to the ability to change is a changeless sense of who you are, what you are about and what you value|Stephan R. Covey
Most people overestimate what they can do in one year and underestimate what they can do in 10 years|Bill Gates
The person who seeks all their applause from outside has their happiness in another’s keeping|Dalie Carnegie
Rules for happiness: something to do, someone to love, something to hope for.|Immanuel Kant
